postgres-1  | 2026-09-06 14:57:54.729 UTC [3213] LOG:  process 3213 detected deadlock while waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1003.208 ms
postgres-1  | 2026-09-06 14:57:54.729 UTC [3213] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:54.730 UTC [3224] LOG:  process 3224 acquired ShareLock on transaction 3579 after 1004.127 ms
postgres-1  | 2026-09-06 14:57:54.823 UTC [3212] LOG:  process 3212 still waiting for ExclusiveLock on tuple (5,106) of relation 16385 of database 16384 after 1009.951 ms
postgres-1  | 2026-09-06 14:57:55.028 UTC [3208] LOG:  process 3208 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1001.044 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3220] LOG:  process 3220 still waiting for ShareLock on transaction 3563 after 1001.448 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3219] LOG:  process 3219 still waiting for ShareLock on transaction 3563 after 1001.266 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3185] LOG:  process 3185 still waiting for ShareLock on transaction 3563 after 1000.690 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3223] LOG:  process 3223 still waiting for ShareLock on transaction 3563 after 1001.859 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3222] LOG:  process 3222 still waiting for ShareLock on transaction 3560 after 1000.036 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3207] LOG:  process 3207 detected deadlock while waiting for ShareLock on transaction 3563 after 1001.783 ms
postgres-1  | 2026-09-06 14:57:55.728 UTC [3207] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:55.729 UTC [3211] LOG:  process 3211 still waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1000.678 ms
postgres-1  | 2026-09-06 14:57:55.729 UTC [3221] LOG:  process 3221 acquired ExclusiveLock on tuple (3,100) of relation 16385 of database 16384 after 2775.508 ms
postgres-1  | 2026-09-06 14:57:55.730 UTC [3205] LOG:  process 3205 detected deadlock while waiting for ExclusiveLock on tuple (3,100) of relation 16385 of database 16384 after 1000.922 ms
postgres-1  | 2026-09-06 14:57:55.730 UTC [3205] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:55.730 UTC [3217] LOG:  process 3217 still waiting for ShareLock on transaction 3559 after 1000.839 ms
postgres-1  | 2026-09-06 14:57:55.730 UTC [3216] LOG:  process 3216 still waiting for ShareLock on transaction 3577 after 1000.289 ms
